@RELATION svm_speech_non_speech
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {speech,non_speech}

@DATA
0.170771,0.022630,3.019187,0.269512,0.230915,1.365626,0.017344,0.296292,-24.578736,1.923848,0.638556,0.240584,-0.422019,0.283905,-0.182108,0.251078,-0.270284,0.056935,-0.179170,0.120728,0.110326,0.012030,0.006423,0.029453,0.013811,0.048665,0.027978,0.056507,0.003259,0.010760,0.011713,0.010864,0.002257,0.031897,-0.009921,-0.001825,-0.009277,-0.008130,-0.000324,-0.142098,0.001736,-0.022125,-0.332192,0.136066,0.184531,-0.042041,0.046726,0.051119,-0.120392,0.019981,-0.028835,-0.012864,-0.046767,-0.005763,0.059699,-0.000994,-0.001262,-0.002282,0.003381,0.011684,0.001802,0.000086,-0.000085,-0.001077,-0.000290,-0.000065,-0.000131,0.002502,0.088023,0.013628,0.310990,0.066030,0.029117,0.688357,0.008688,0.189563,2.064267,0.763139,0.799623,0.413105,0.469915,0.324438,0.410768,0.298222,0.242031,0.162709,0.197620,0.204415,0.228202,0.016136,0.010557,0.032578,0.011774,0.050497,0.030125,0.054827,0.004916,0.015801,0.013588,0.010345,0.001918,0.016590,0.102239,0.015753,0.442386,0.072337,0.030979,0.745153,0.012057,0.235352,2.059500,0.872255,0.677465,0.467014,0.509109,0.451088,0.416325,0.349750,0.267216,0.218328,0.208049,0.275738,0.280517,0.019623,0.016166,0.042682,0.016167,0.063807,0.040176,0.072902,0.006782,0.019181,0.018490,0.014117,0.002474,0.020114,speech
0.068014,0.089388,3.016950,0.185534,0.218748,0.468977,0.044239,0.095521,-25.487528,2.467616,0.699945,0.569341,0.082209,0.253231,0.271625,0.341106,0.320455,0.406367,0.118912,0.205821,0.025782,0.003725,0.001387,0.096210,0.002450,0.022009,0.001876,0.040192,0.000478,0.002864,0.006493,0.130887,0.001447,0.054682,0.000292,-0.003741,-0.007767,0.000894,0.000415,0.002826,0.000164,-0.000125,-0.091681,-0.014161,0.005050,0.002013,-0.012791,0.000700,-0.004551,0.004478,-0.011663,0.003863,-0.005781,0.001893,-0.006240,-0.000009,0.000001,-0.000543,-0.000001,-0.000021,0.000012,0.001744,-0.000000,0.000008,0.000015,-0.000667,-0.000016,-0.000362,0.069496,0.066896,0.364553,0.074575,0.040231,0.448970,0.045200,0.119788,2.482736,0.986958,0.603973,0.362012,0.434690,0.334848,0.303602,0.217561,0.276907,0.219477,0.241763,0.169943,0.185462,0.004837,0.002375,0.074135,0.003400,0.027708,0.003744,0.036489,0.000972,0.006672,0.010379,0.096852,0.001690,0.017240,0.088754,0.064372,0.518809,0.091741,0.050232,0.562327,0.053801,0.164699,2.549167,1.084301,0.775738,0.510449,0.479386,0.407088,0.369132,0.272553,0.322139,0.275821,0.274185,0.235306,0.273285,0.006711,0.002567,0.100913,0.003585,0.036330,0.005239,0.048439,0.001366,0.007595,0.010357,0.122537,0.002141,0.021124,speech
0.188038,0.015117,2.842203,0.279010,0.227836,1.561774,0.013888,0.346983,-25.525335,1.744312,0.435293,0.227503,-0.493215,0.302607,0.057477,0.483912,-0.159587,0.024128,-0.261533,0.127931,-0.051364,0.015612,0.009817,0.044606,0.014207,0.036951,0.013768,0.062731,0.003010,0.005570,0.008199,0.011268,0.003084,0.029794,0.000498,0.000191,0.003579,0.000121,-0.000477,0.013381,0.000105,0.001676,0.028469,-0.005988,-0.027311,-0.011827,0.010405,-0.008289,0.022279,0.002795,-0.004929,0.012007,0.004947,0.000975,0.004307,-0.000075,-0.000047,0.000520,0.000122,0.000153,-0.001386,-0.000741,0.000334,-0.000048,-0.000032,-0.000044,-0.000009,-0.000204,0.089037,0.013766,0.392847,0.068772,0.031057,0.649450,0.006454,0.192460,2.607154,0.923349,0.831656,0.378371,0.504043,0.445797,0.406322,0.316818,0.333880,0.245403,0.283851,0.181114,0.222359,0.020470,0.015321,0.034112,0.013079,0.038444,0.017027,0.074716,0.004299,0.007228,0.008816,0.011623,0.003771,0.018997,0.097864,0.016697,0.568364,0.079431,0.034613,0.705708,0.009037,0.217417,2.760434,1.132009,0.845199,0.388700,0.605087,0.487809,0.446338,0.365903,0.352278,0.336987,0.331942,0.255135,0.270339,0.026770,0.020779,0.032918,0.016587,0.049997,0.017256,0.084211,0.004934,0.010415,0.012259,0.014140,0.005350,0.021732,speech
0.190518,0.033878,2.947595,0.274468,0.216336,1.566039,0.014363,0.329417,-23.549317,1.870291,0.026095,0.025919,-0.304513,0.222593,0.033953,0.186834,-0.254411,0.121220,-0.085961,0.111239,-0.038828,0.012717,0.005149,0.035095,0.018683,0.028572,0.012389,0.031725,0.007440,0.009830,0.013811,0.019286,0.008486,0.021799,-0.002785,-0.000061,-0.007264,-0.004701,-0.001979,-0.020489,0.000214,-0.010806,0.042540,0.090664,0.007099,-0.009783,-0.003944,-0.033215,-0.023561,0.010464,-0.009209,0.006191,0.009912,-0.009173,-0.011542,0.000296,0.000152,-0.001865,0.000087,0.000345,-0.000102,-0.003269,-0.000082,-0.000090,0.000977,0.002673,0.000122,-0.000516,0.076687,0.021941,0.332753,0.058372,0.025065,0.412230,0.006194,0.133570,1.707677,0.922100,0.822641,0.561972,0.751471,0.329683,0.519214,0.438412,0.453479,0.275399,0.248383,0.253680,0.217698,0.014673,0.006988,0.032960,0.019999,0.020835,0.014236,0.036446,0.016137,0.016178,0.013229,0.020945,0.011937,0.009498,0.082533,0.025062,0.470309,0.058017,0.030122,0.454324,0.007487,0.139154,1.785735,0.865123,0.924090,0.508607,0.604389,0.353293,0.493540,0.431564,0.553928,0.312419,0.331126,0.294367,0.239933,0.019944,0.009604,0.039459,0.026915,0.023951,0.020708,0.040619,0.023722,0.018091,0.017708,0.021045,0.016138,0.012193,speech
0.071930,0.060971,2.984138,0.191880,0.217873,0.507512,0.031920,0.107833,-25.466415,2.377551,0.630106,0.651094,0.195339,0.228732,0.198896,0.335196,0.194293,0.456044,0.002758,0.110441,0.064409,0.007205,0.001173,0.078063,0.002464,0.031464,0.003468,0.065634,0.000658,0.002498,0.008671,0.098909,0.002313,0.051538,0.000668,0.001096,0.002137,-0.000745,-0.001342,0.014122,0.000327,0.004000,0.152092,0.032497,-0.032230,-0.011235,0.009997,-0.017628,-0.004702,0.007974,-0.016182,-0.003660,0.006543,0.002846,0.004766,0.000001,0.000008,-0.003953,0.000147,0.002651,0.000070,-0.000246,0.000006,0.000058,0.000054,-0.000787,0.000118,-0.000408,0.073656,0.041869,0.360987,0.075248,0.035709,0.476916,0.026877,0.139464,2.540223,1.051453,0.738547,0.415497,0.427778,0.314829,0.317818,0.249632,0.242572,0.292941,0.220542,0.194056,0.198257,0.009812,0.001949,0.074593,0.003903,0.043788,0.008697,0.072559,0.001152,0.004599,0.014400,0.077602,0.003609,0.016768,0.089287,0.046715,0.464375,0.081964,0.045972,0.528285,0.035106,0.150530,2.572906,1.084845,0.741078,0.462556,0.442056,0.297208,0.363651,0.295320,0.276920,0.426162,0.245218,0.258670,0.234226,0.010485,0.002794,0.083893,0.005106,0.053342,0.012294,0.088762,0.001343,0.006044,0.016849,0.103617,0.005049,0.020492,speech
0.155349,0.013899,2.926074,0.273016,0.246180,1.129091,0.020810,0.275892,-26.715854,1.795132,0.718362,0.012857,-0.002423,-0.023294,-0.131532,-0.021914,-0.064551,-0.104102,-0.288665,-0.143679,-0.288712,0.052614,0.005043,0.103373,0.016027,0.009582,0.005023,0.054529,0.001051,0.002621,0.005388,0.019463,0.006340,0.044534,0.000034,-0.000207,-0.004643,0.000939,0.000772,0.001608,-0.000097,-0.000824,-0.059821,-0.032167,-0.002009,0.009089,0.002439,0.001991,0.004847,0.015359,0.008383,0.013270,0.008094,0.003550,0.003740,-0.001321,0.000007,0.001843,-0.000042,0.000056,-0.000040,0.004090,0.000003,-0.000024,-0.000388,-0.000702,-0.000026,0.000696,0.111547,0.014611,0.355643,0.086545,0.039332,0.723537,0.014017,0.244070,2.447736,0.967912,0.704243,0.660386,0.321996,0.346493,0.297256,0.298359,0.275949,0.298991,0.291349,0.278382,0.319814,0.065736,0.010075,0.078142,0.019940,0.009931,0.005999,0.055442,0.001212,0.003011,0.004986,0.025176,0.008946,0.020926,0.116166,0.016019,0.475727,0.086587,0.036376,0.701688,0.019573,0.269679,2.038388,0.951621,0.732024,0.640502,0.439458,0.382700,0.349569,0.344935,0.303721,0.341200,0.318585,0.329661,0.347116,0.080080,0.014363,0.083693,0.028219,0.013012,0.008099,0.054310,0.001402,0.004155,0.007790,0.029186,0.011178,0.021012,speech
0.116444,0.021326,2.957889,0.221106,0.227554,0.859773,0.019057,0.191389,-25.540654,2.481062,1.004712,0.566104,-0.333441,0.354422,-0.006414,0.236773,0.199743,0.065251,-0.050987,-0.014542,0.085556,0.017554,0.002781,0.108880,0.012856,0.035455,0.005152,0.022865,0.000467,0.002411,0.011699,0.046084,0.006943,0.040955,-0.001267,-0.000079,0.003268,-0.002811,-0.002081,-0.016457,0.001301,-0.002250,-0.068759,0.057659,0.015483,-0.012347,0.009389,-0.013764,-0.016551,0.006081,-0.005699,0.004748,-0.005359,0.002023,-0.001530,-0.000790,-0.000019,-0.005085,0.003259,0.003272,-0.000157,-0.000263,-0.000009,0.000007,-0.000067,-0.000461,-0.000009,-0.000161,0.067774,0.017410,0.324888,0.072626,0.040716,0.602465,0.013938,0.175879,1.411952,0.823548,0.684928,0.362546,0.522723,0.375877,0.363571,0.273822,0.296883,0.213858,0.269387,0.212170,0.215512,0.015881,0.003513,0.077941,0.019971,0.034597,0.006305,0.019434,0.000617,0.002372,0.011088,0.039060,0.015086,0.014925,0.085277,0.020954,0.411612,0.093887,0.052873,0.639277,0.018059,0.220769,1.800357,0.946928,0.672496,0.427237,0.615576,0.385402,0.366021,0.343368,0.394243,0.301703,0.386088,0.208700,0.235799,0.019736,0.004766,0.073059,0.021499,0.036463,0.008006,0.025178,0.000783,0.003648,0.014989,0.043463,0.022280,0.015847,speech
0.151508,0.034037,2.901878,0.240459,0.219787,1.164973,0.015757,0.244713,-24.449716,2.240014,0.576070,0.458745,-0.292183,0.194043,-0.249875,0.270840,-0.172935,0.144342,-0.134071,0.241257,-0.065366,0.010937,0.002256,0.046440,0.028076,0.053037,0.014331,0.038867,0.002354,0.006673,0.014830,0.019495,0.004048,0.030183,-0.001778,-0.000288,-0.003603,-0.001990,-0.000514,-0.015481,0.000686,-0.004333,-0.031921,0.040871,0.005507,-0.017454,0.024304,-0.003786,-0.002068,0.001098,0.019164,0.000325,-0.007009,-0.000012,0.010759,0.000020,0.000121,0.000430,0.000097,0.001797,0.000019,0.000113,-0.000153,-0.000603,-0.000658,0.000017,0.000164,0.000249,0.083895,0.026090,0.440648,0.056875,0.031673,0.615116,0.009257,0.167245,1.976826,0.864399,0.951127,0.435731,0.420544,0.332326,0.337724,0.246469,0.309380,0.249569,0.217399,0.171435,0.187466,0.014834,0.002516,0.042790,0.033157,0.044956,0.025843,0.038269,0.004467,0.009738,0.014145,0.018064,0.005598,0.011704,0.079032,0.031857,0.644405,0.050252,0.027783,0.615278,0.009729,0.193066,2.081420,0.809622,0.847010,0.506877,0.488785,0.430314,0.413193,0.308283,0.283819,0.304015,0.280368,0.235804,0.240414,0.019894,0.003171,0.052951,0.040791,0.046460,0.035845,0.048196,0.005648,0.012029,0.019449,0.026085,0.008491,0.015662,speech
0.084289,0.030346,3.051205,0.187815,0.202649,0.787399,0.025780,0.135469,-25.164799,2.773671,0.294380,0.434561,-0.037931,0.232721,0.031392,0.189139,-0.138690,0.107588,-0.034834,0.090479,-0.012395,0.010630,0.002377,0.094618,0.013776,0.027650,0.010562,0.064607,0.002137,0.014944,0.013910,0.029006,0.002466,0.040947,-0.000219,0.000973,0.001102,0.002460,0.003167,-0.024283,-0.000082,-0.004594,0.053282,-0.035231,0.058177,-0.004029,-0.022197,-0.013075,-0.023887,-0.004723,-0.012147,0.007224,0.012550,0.000302,-0.003844,-0.000132,-0.000063,-0.001905,-0.000304,-0.000059,-0.000094,-0.001194,-0.000049,0.003430,0.000653,-0.001385,-0.000045,0.000040,0.044669,0.023366,0.164881,0.055302,0.039083,0.512245,0.016794,0.091444,2.296932,0.881556,0.920514,0.657720,0.533271,0.406537,0.394202,0.250997,0.326195,0.255907,0.227061,0.238772,0.210115,0.012306,0.003392,0.078450,0.016778,0.033657,0.015648,0.064686,0.005300,0.020789,0.012406,0.035839,0.002570,0.019828,0.051396,0.022864,0.219532,0.054436,0.036352,0.598292,0.025178,0.104075,2.288033,0.961820,0.882504,0.681739,0.621163,0.491687,0.460352,0.311189,0.346153,0.317234,0.313281,0.312742,0.248611,0.016500,0.005273,0.089074,0.021442,0.043520,0.020162,0.078780,0.007132,0.019649,0.017137,0.046241,0.003614,0.020747,speech
0.178195,0.018847,2.818815,0.268681,0.231007,1.381160,0.014919,0.311417,-26.995318,1.861009,0.434762,0.387244,-0.324954,0.390290,0.139700,0.094994,0.038111,-0.038041,-0.052596,0.096095,-0.058757,0.014036,0.004877,0.057158,0.014761,0.026201,0.008806,0.059027,0.003227,0.006596,0.015408,0.019658,0.004884,0.030578,0.005388,-0.000286,0.005541,0.003246,0.000307,0.036757,0.000088,0.008250,-0.099275,-0.048500,-0.012669,-0.000444,-0.005785,0.002082,0.012145,-0.000563,0.003212,-0.002553,-0.004165,0.006345,0.000271,-0.000276,-0.000003,-0.000955,-0.000192,-0.000935,0.000031,0.000134,0.000044,0.000045,0.000040,0.000007,0.000026,-0.000292,0.110776,0.026415,0.416111,0.085110,0.036058,0.670104,0.009584,0.230056,3.506637,0.992070,0.785258,0.390193,0.506763,0.359869,0.407996,0.273930,0.329459,0.207971,0.210388,0.199354,0.218699,0.019978,0.006440,0.045553,0.025433,0.022426,0.013877,0.049486,0.005705,0.007788,0.018560,0.018580,0.010047,0.013368,0.117655,0.026933,0.475271,0.084914,0.032545,0.805736,0.010990,0.278990,2.726014,0.779462,0.714230,0.430515,0.571141,0.412011,0.429985,0.343312,0.376755,0.275511,0.275242,0.210799,0.256196,0.026777,0.009052,0.046659,0.030711,0.028398,0.019259,0.060713,0.006907,0.011241,0.019604,0.025811,0.013431,0.016183,speech
0.172964,0.037209,2.766120,0.263513,0.218968,1.384283,0.026972,0.273750,-24.950797,1.996696,0.273270,0.036246,-0.300126,-0.032309,-0.287298,-0.145399,-0.415846,-0.277563,-0.323063,-0.173098,-0.124210,0.013095,0.003578,0.045299,0.054558,0.031681,0.025192,0.016010,0.002508,0.006512,0.011261,0.014156,0.005442,0.030955,0.004198,-0.000919,-0.051894,0.001679,0.001073,0.020101,0.000082,0.005063,0.012908,-0.004002,-0.019589,0.011510,0.016718,-0.007446,0.007331,-0.003396,0.004159,0.002291,-0.009597,-0.000273,0.004243,0.000343,0.000151,0.000873,0.000517,0.000689,-0.001017,0.000471,0.000077,-0.000113,-0.000363,-0.001271,0.000047,-0.000480,0.105094,0.030682,0.616733,0.081007,0.032784,0.720307,0.023118,0.184087,2.484197,1.077610,0.860896,0.568095,0.397095,0.411592,0.289591,0.372193,0.292924,0.298866,0.364548,0.369114,0.324477,0.015894,0.003769,0.050771,0.054591,0.036197,0.036776,0.019544,0.004027,0.008080,0.013180,0.018605,0.011247,0.018398,0.105840,0.034158,0.781925,0.094894,0.037883,0.766876,0.030074,0.228506,3.141411,1.254591,0.990254,0.655350,0.495425,0.465266,0.350062,0.452900,0.334244,0.324195,0.366296,0.339881,0.347313,0.020650,0.004122,0.054152,0.064690,0.041033,0.043201,0.025174,0.005279,0.010740,0.017597,0.021414,0.014291,0.020209,speech
0.164797,0.019281,2.946812,0.262486,0.209084,1.525011,0.016305,0.316833,-25.302517,1.906107,-0.204781,-0.050858,-0.609543,0.132033,-0.299292,0.083086,-0.083859,-0.015561,-0.364173,-0.061248,-0.380288,0.040645,0.019082,0.030977,0.011552,0.009613,0.009578,0.011779,0.002654,0.010529,0.018825,0.026585,0.005004,0.024069,-0.005336,-0.000172,0.001951,-0.004374,-0.001325,-0.060282,0.001352,-0.013750,-0.015290,0.054271,0.029557,-0.017543,-0.033830,-0.004268,-0.005365,0.004349,0.012279,-0.008037,-0.011339,0.007810,-0.011742,0.005938,0.000011,-0.000611,-0.000251,-0.001236,-0.000237,-0.000436,-0.000075,-0.000450,-0.000830,0.001720,0.000031,0.001460,0.064993,0.021003,0.458212,0.056414,0.025307,0.622429,0.010859,0.170275,1.996430,0.852363,0.772928,0.576554,0.337008,0.296011,0.346080,0.277578,0.259498,0.192943,0.296323,0.293374,0.275605,0.050554,0.017909,0.026687,0.011554,0.011570,0.013363,0.011367,0.002975,0.019012,0.020873,0.027699,0.005414,0.013129,0.061721,0.026839,0.617119,0.054744,0.025886,0.631892,0.014165,0.186040,2.350468,0.843208,0.858773,0.563884,0.345714,0.342136,0.415999,0.343042,0.328890,0.232417,0.362362,0.325268,0.298108,0.045704,0.023974,0.034038,0.014636,0.014513,0.018294,0.013822,0.003745,0.022916,0.027755,0.027239,0.008327,0.013754,speech
0.157331,0.046283,3.003234,0.249646,0.224828,1.296772,0.023380,0.267750,-23.931853,2.108155,0.309141,0.157046,-0.186787,0.233552,-0.081305,0.217478,-0.047559,-0.074864,-0.204885,-0.014901,-0.134625,0.029876,0.006212,0.034088,0.012468,0.015651,0.005377,0.042354,0.001427,0.004850,0.031067,0.047111,0.006391,0.032505,0.000031,0.000040,-0.002869,-0.000570,-0.001395,0.020485,-0.000003,-0.000563,0.078004,0.000259,-0.035777,0.003084,-0.008129,0.020140,-0.010839,0.005981,0.005085,0.001181,-0.007312,0.000835,-0.003266,0.000306,0.000242,-0.000012,0.000512,-0.000125,-0.000012,-0.000196,-0.000002,-0.000091,-0.000837,-0.000174,0.000370,-0.000424,0.092043,0.037373,0.329024,0.066434,0.034628,0.563595,0.018202,0.185799,1.817976,0.865156,0.790045,0.553660,0.390197,0.403668,0.244110,0.326777,0.278460,0.228426,0.271735,0.265122,0.294780,0.044505,0.010138,0.035991,0.017717,0.015428,0.006663,0.057164,0.002100,0.006735,0.031909,0.039736,0.012236,0.016152,0.120007,0.045252,0.504211,0.087372,0.039784,0.734476,0.020552,0.255160,2.029151,1.116844,0.762294,0.611084,0.495897,0.443448,0.266480,0.411686,0.301148,0.264358,0.337938,0.313322,0.354333,0.061476,0.013653,0.048164,0.023696,0.019162,0.009479,0.066629,0.002267,0.008461,0.038777,0.051888,0.017032,0.020141,speech
0.127318,0.056679,3.061514,0.240156,0.216858,1.248950,0.024362,0.222125,-23.828427,2.090512,0.022262,0.088546,-0.118058,0.366660,-0.201691,0.067578,-0.109340,-0.254230,-0.172898,-0.084806,-0.140436,0.027259,0.007093,0.048872,0.018948,0.046681,0.006127,0.040885,0.002822,0.007107,0.013980,0.031203,0.003569,0.038502,0.000752,0.000180,0.015081,0.004409,0.002356,0.038246,0.000109,0.003875,0.026713,-0.056833,-0.001978,-0.015395,0.005283,0.028591,-0.007531,0.013649,0.039443,0.033988,0.019143,-0.046162,-0.028319,-0.000784,0.001833,0.010175,-0.007124,-0.001721,-0.002544,-0.000694,0.000309,-0.000028,-0.000121,-0.000519,0.000041,0.000962,0.054824,0.037096,0.272029,0.046282,0.028284,0.466107,0.012333,0.123923,1.834265,0.785148,0.656706,0.522487,0.333532,0.361162,0.282900,0.325655,0.308726,0.306294,0.279978,0.351087,0.364198,0.034692,0.011727,0.046721,0.029242,0.049142,0.006821,0.052758,0.004740,0.012798,0.017250,0.026196,0.003851,0.016233,0.074985,0.048303,0.449600,0.062739,0.034093,0.639279,0.016461,0.164266,2.123954,1.056286,0.667445,0.537733,0.405189,0.357122,0.382071,0.365475,0.311719,0.368371,0.322315,0.322939,0.427422,0.051178,0.012741,0.048234,0.044242,0.065433,0.009112,0.073624,0.005931,0.016376,0.022504,0.027791,0.005241,0.024827,speech
0.131939,0.044608,2.978859,0.220278,0.203134,1.249148,0.023171,0.203000,-23.676629,2.533891,0.131416,0.223591,-0.455147,0.118367,-0.004976,0.222750,-0.096235,0.152614,-0.107039,0.001118,-0.023122,0.018291,0.012635,0.024689,0.022003,0.034098,0.016678,0.035744,0.003882,0.007779,0.022242,0.017449,0.008668,0.025273,-0.004386,-0.000155,-0.004951,-0.002115,0.000603,-0.025483,0.000570,-0.005625,0.006645,0.022000,0.025679,-0.020023,-0.015624,0.014506,0.000140,0.004499,-0.008026,0.023836,0.004745,-0.003238,-0.010993,0.000009,-0.000057,-0.001967,-0.000884,0.002445,-0.000074,0.001787,-0.000007,-0.000038,0.000073,0.000185,0.000147,0.000316,0.062288,0.026822,0.336630,0.050038,0.023881,0.542672,0.012289,0.121878,1.743863,0.714532,0.729689,0.407760,0.503267,0.415688,0.374381,0.349826,0.303400,0.241406,0.225991,0.229611,0.258648,0.024604,0.016977,0.022379,0.023435,0.034287,0.022877,0.034048,0.007433,0.012402,0.025282,0.017409,0.013979,0.009552,0.076711,0.035912,0.512836,0.059478,0.026408,0.693121,0.016519,0.156259,2.325846,0.850565,0.827582,0.506308,0.678522,0.490930,0.451700,0.396352,0.343365,0.316418,0.323321,0.300945,0.297825,0.033888,0.023594,0.037643,0.028497,0.038033,0.030418,0.047929,0.008443,0.016615,0.034141,0.022827,0.021168,0.013029,speech
